model,parse_error_rate,participant_f1,event_coverage,extra_event_rate,event_count_diff_mean,omitted_ref_event_count,extra_model_event_count,weak_match_count,speech_act_category_accuracy,intended_meaning_similarity,action_similarity,evidence_similarity,final_outcome_similarity,actor_null_rate,action_null_rate,object_null_rate,recipient_null_rate,selected_event_count,invalid_selected_event_count,informativeness,clarity,plausibility,faithfulness
aya32b,0.02,1.0,0.8493333333333334,0.45772594752186585,1.9387755102040816,0.58,2.4285714285714284,0.3673469387755102,0.6156462585034014,0.4525150848445389,0.2344940802243986,0.8283553448131207,0.4805686235361091,0.5922740524781341,0.35553935860058306,0.3318999028182702,0.24023323615160347,1.5918367346938775,0.0,2.6906150078773496,3.669090609550476,3.766904442310333,3.0232834696769713
gemma27b,0.12,0.9891774891774893,0.6773333333333333,0.24924242424242424,0.18181818181818182,1.06,0.9545454545454546,0.20454545454545456,0.6686046511627907,0.5288364670890393,0.4497656456291109,0.8128439667160839,0.5230401142512836,0.22325581395348837,0.0,0.26744186046511625,0.2573643410852713,2.0681818181818183,1.0,2.5373849177360537,3.6773925018310547,3.7908987903594973,3.1179037356376647
qwen27b,0.0,0.9933333333333333,0.8213333333333332,0.271,0.36,0.66,1.02,0.32,0.682,0.5427565123413615,0.44563028834613044,0.8285671626107665,0.48511181150015564,0.04466666666666667,0.0,0.15366666666666667,0.315,2.42,0.0,2.6316538405418397,3.691144652366638,3.80998291015625,3.1347925424575807
